feature_a,feature_b,spearman_rho,mz_a,mz_b,rt_a,rt_b,mz_diff,rt_diff,candidate_isomer,candidate_isotope_or_adduct,high_corr_near_duplicate,high_corr_other,relation_type
FT-051,FT-220,0.016131237183868764,1069.2050570468462,1098.2292261588002,1157.7638325982018,1176.4712324222012,29.024169111954052,18.707399823999367,False,True,False,False,candidate_isotope_or_adduct
FT-051,FT-052,0.6803554340396446,1069.2050570468462,1069.2070748658969,1157.7638325982018,1173.5811959662594,0.0020178190507067484,15.817363368057613,True,False,False,False,candidate_isomer
FT-051,FT-249,0.4415857826384142,1069.2050570468462,1069.709184439815,1157.7638325982018,1158.0681524278946,0.5041273929689396,0.3043198296927585,False,True,False,False,candidate_isotope_or_adduct
FT-051,FT-250,0.6377033492822967,1069.2050570468462,1069.708344315076,1157.7638325982018,1173.681223284433,0.5032872682297693,15.917390686231101,False,True,False,False,candidate_isotope_or_adduct
FT-168,FT-159,0.2108544087491456,1336.3262451050714,1343.8406591266526,1551.2877356272045,1551.4018781172863,7.51441402158116,0.11414249008180377,False,True,False,False,candidate_isotope_or_adduct
FT-168,FT-169,0.8885304169514696,1336.3262451050714,1335.3236370967948,1551.2877356272045,1551.257112257207,1.0026080082766384,0.030623369997556438,False,True,False,False,candidate_isotope_or_adduct
FT-168,FT-170,0.9151059466848941,1336.3262451050714,1335.8228921318928,1551.2877356272045,1551.4213307481,0.5033529731786075,0.13359512089550662,False,True,False,False,candidate_isotope_or_adduct
FT-168,FT-163,0.913028024606972,1336.3262451050714,1337.3318321701493,1551.2877356272045,1551.0732220065731,1.0055870650778616,0.21451362063135093,False,True,False,False,candidate_isotope_or_adduct
FT-168,FT-166,0.8873547505126452,1336.3262451050714,1336.829587591733,1551.2877356272045,1551.163342823527,0.5033424866614951,0.12439280367743777,False,True,False,False,candidate_isotope_or_adduct
FT-040,FT-038,0.7244292549555708,1024.6859401518484,1025.690862799387,1107.6170160866384,1107.23462155222,1.0049226475387059,0.3823945344183812,False,True,False,False,candidate_isotope_or_adduct
FT-040,FT-182,0.5362952836637047,1024.6859401518484,1026.1932694786867,1107.6170160866384,1095.4661545958722,1.5073293268383168,12.150861490766147,False,True,False,False,candidate_isotope_or_adduct
FT-040,FT-039,0.5359945317840055,1024.6859401518484,1024.6867091528734,1107.6170160866384,1095.258554693031,0.0007690010249916668,12.358461393607286,True,False,False,False,candidate_isomer
FT-040,FT-041,0.5079699248120301,1024.6859401518484,1025.1883020825835,1107.6170160866384,1095.323555128769,0.5023619307351055,12.293460957869456,False,True,False,False,candidate_isotope_or_adduct
FT-040,FT-037,0.5557894736842105,1024.6859401518484,1025.6898265569414,1107.6170160866384,1095.46453629439,1.0038864050929988,12.152479792248414,False,True,False,False,candidate_isotope_or_adduct
FT-040,FT-042,0.6967600820232399,1024.6859401518484,1025.1886386302892,1107.6170160866384,1107.3546178711229,0.5026984784408342,0.2623982155155318,False,True,False,False,candidate_isotope_or_adduct
FT-245,FT-243,0.5743267259056732,1083.02130840629,1083.0184165320716,1473.1330249701502,1438.918439562102,0.00289187421844872,34.21458540804815,True,False,False,False,candidate_isomer
FT-245,FT-133,0.3936021872863978,1083.02130840629,1088.3554957275571,1473.1330249701502,1455.6188085752144,5.334187321267109,17.51421639493583,False,True,False,False,candidate_isotope_or_adduct
FT-245,FT-242,0.6921667805878332,1083.02130840629,1083.0169631809986,1473.1330249701502,1422.690822712629,0.004345225291444876,50.44220225752133,True,False,False,False,candidate_isomer
FT-245,FT-153,0.22064251537935747,1083.02130840629,1088.6918828508271,1473.1330249701502,1473.446015556528,5.670574444537124,0.3129905863777367,False,True,False,False,candidate_isotope_or_adduct
FT-245,FT-244,0.7992071086807929,1083.02130840629,1083.0144831519058,1473.1330249701502,1455.407052190095,0.006825254384239088,17.725972780055145,True,False,False,False,candidate_isomer
