sample,class,order,batch,total_signal_raw,log10_total_signal_plus1,detected_features,detection_rate,zero_fraction,corr_to_class_median,PC1,PC2,PC3,PC4,PC5,pca_distance_to_class_centroid,log10_total_signal_plus1_robust_z_within_class,detected_features_robust_z_within_class,zero_fraction_robust_z_within_class,corr_to_class_median_robust_z_within_class,pca_distance_to_class_centroid_robust_z_within_class,flag_low_total_signal,flag_low_detected_features,flag_high_zero_fraction,flag_low_corr_to_class_median,flag_high_pca_distance,n_review_flags,recommend_exclude,review_tier
20241106-297-Dunn-12,Dunn,43,1,785285.2668881685,5.895028002562677,249,0.9880952380952381,0.011904761904761862,0.9839233106099401,1.781766390585332,-2.404193811375807,-9.037047319509345,-1.8551911729666377,4.307088665448932,4.903033487342005,-0.17852291262565673,-0.6782523220157747,0.6782523220157727,-1.2931117296828953,-0.71355794920245,False,False,False,False,False,0,False,keep
20241106-297-Dunn-8,Dunn,48,1,701308.9039707904,5.845909972093552,250,0.9920634920634921,0.007936507936507908,0.9879623189764956,0.9770550596275991,-2.814035641615935,-7.254959472596623,-0.04513838035983481,2.035485145223722,2.0444006638812073,-0.7580330269983675,0.0,0.0,-0.5814136575688151,-1.5343660063724398,False,False,False,False,False,0,False,keep
20241106-297-Dunn-25,Dunn,49,1,821952.6091972783,5.914847306788013,249,0.9880952380952381,0.011904761904761862,0.9922500820172231,2.4915967379647768,-2.3785662515133597,-5.4944478251095905,1.5828227074568906,2.4046738927443037,2.118754155412412,0.055311529608981225,-0.6782523220157747,0.6782523220157727,0.17411651539050554,-1.5130166590807343,False,False,False,False,False,0,False,keep
20241106-297-Dunn-24,Dunn,54,1,1008243.7479418545,6.0035659683976705,249,0.9880952380952381,0.011904761904761862,0.9965742138070721,1.5676083677230976,-3.065398663627143,-6.361703847464711,2.339481781393395,-0.2751504489605775,2.815039616982971,1.1020424600913108,-0.6782523220157747,0.6782523220157727,0.9360550852348871,-1.3130900675097557,False,False,False,False,False,0,False,keep
20241106-297-Dunn-2,Dunn,55,1,678874.355202194,5.831790043032962,250,0.9920634920634921,0.007936507936507908,0.9891906078643431,2.4460202339572006,-2.9864954288980208,-8.033945973510024,-1.1888782709853254,9.945077208058807,8.705587297289297,-0.9246244319607615,0.0,0.0,-0.3649816143181223,0.37828105138963936,False,False,False,False,False,0,False,keep
20241106-297-Dunn-9,Dunn,59,1,813127.5697830018,5.9101592205419795,249,0.9880952380952381,0.011904761904761862,0.989783937639618,1.3875940121500052,-6.20487855148211,-4.5278551916165535,1.7344607603219984,2.9519234045009304,3.2288360789435755,0.0,-0.6782523220157747,0.6782523220157727,-0.26043326510260195,-1.1942754134491806,False,False,False,False,False,0,False,keep
20241106-297-Dunn-14,Dunn,70,1,745113.2266556588,5.872222855571876,251,0.996031746031746,0.003968253968253954,0.9928704142343682,0.9578435276921925,-3.8920080067302996,-3.79022519540779,3.4250823738989427,5.116162389126668,5.039060826050334,-0.4475852755645122,0.6782523220157747,-0.6782523220157727,0.2834228606479473,-0.6745,False,False,False,False,False,0,False,keep
20241106-297-Dunn-6,Dunn,72,1,698064.408295275,5.843896117653008,249,0.9880952380952381,0.011904761904761862,0.9945066327025281,0.8747904639296825,-5.041199103766711,-4.910275426172123,2.8068866848166714,4.613802110203058,4.078692409895289,-0.7817931209195436,-0.6782523220157747,0.6782523220157727,0.5717346004772982,-0.9502535446183382,False,False,False,False,False,0,False,keep
20241106-297-Dunn-15,Dunn,75,1,779942.9333772236,5.892063384357077,250,0.9920634920634921,0.007936507936507908,0.98665679336371,1.7111622925507604,-5.853280082713318,-5.102752288651339,5.076188645774558,2.6238813602400017,5.000945285057254,-0.21350041923554847,0.0,0.0,-0.8114552859567735,-0.6854442328142855,False,False,False,False,False,0,False,keep
20241106-297-Dunn-10,Dunn,81,1,675270.3960637001,5.829478353755728,249,0.9880952380952381,0.011904761904761862,0.9848477292965965,3.0143641185384236,-8.081553990427897,-5.4547458024917885,7.860895150590417,3.2768360793885436,8.541368584831089,-0.9518984758230497,-0.6782523220157747,0.6782523220157727,-1.1302234815259227,0.33112842611452853,False,False,False,False,False,0,False,keep
