sample,FT-145,FT-015,FT-174,FT-188,FT-028,FT-156,FT-217,FT-146,FT-172,FT-089,FT-079,FT-002,FT-006,FT-005,FT-051,FT-004,FT-168,FT-040,FT-245,FT-243,FT-238,FT-110,FT-202,FT-060,FT-069,FT-095,FT-225,FT-066,FT-159,FT-206,FT-043,FT-038,FT-115,FT-158,FT-046,FT-161,FT-063,FT-101,FT-200,FT-105,FT-155,FT-072,FT-186,FT-076,FT-056,FT-133,FT-203,FT-023,FT-050,FT-018,FT-078,FT-178,FT-102,FT-233
20241106-297-Dunn-19,6.7338380629697605,7.599247102445972,0.0,4.449789756317312,6.4224035134123465,7.610841897428491,5.06847612171153,5.614053049507244,2.4885584247431187,7.570686209971961,4.352323803227624,7.211831297712817,9.482130765412386,10.262699576429242,4.853029587861575,8.412838524561012,8.245499098477408,6.755949430482775,4.767900055537586,5.364761509300131,4.014005608802467,8.12060032427409,4.982220885797281,6.052469379638836,6.818903001744732,7.882893263617899,4.433261446803844,7.259506231187538,6.888564484491838,5.011029242923019,8.202255003413272,6.205752114338969,4.974261285416911,6.714200404303153,8.770984513024604,7.580520360970146,7.265682343739996,10.62299773243599,4.878863880530276,10.62781081540349,6.801619258536971,4.974469145004425,4.329745411102747,10.057277776916036,8.055271869348566,7.065688189098557,7.542289792322806,7.278127178614941,8.720382305795702,7.695778859492639,6.687261932491665,7.1871704243491195,6.402457820671768,6.9289740946378275
20241106-297-Dunn-12,6.619018900279527,7.758483933174255,0.0,4.578245706658833,6.519501656704713,7.570998031919393,4.854475016984853,5.605979812744259,0.0,7.521769928953361,4.708103657760747,7.099801866509396,9.40928658624642,10.243543411330936,5.201424413479967,8.40444446855208,8.28558340762022,6.826918725109568,4.620134048807092,5.092338255752175,3.9897183672879537,7.993116408781584,4.487583075371935,5.762482035825575,6.788420498203047,7.905655493799912,3.9494604626001313,7.228840315760925,6.874705331599583,4.882763696900381,8.245282031777958,8.02640495643974,4.670970324354369,6.864716853719168,8.78308716142331,7.5798596554047535,7.142703448616597,10.65707605646962,4.576911605374616,10.571318646545082,6.916717959434068,4.750424055485414,4.332920767159364,9.999806509246836,7.898447861899558,6.8600805020112325,7.374766065659478,7.44183287619615,8.775170264063819,7.910108040388542,6.635920540410092,7.290664735573526,6.27214746803248,6.897154559094685
20241106-297-Dunn-8,6.659944396335561,7.660558380518872,2.555982120372445,7.445824880968771,6.531388617972809,7.564174591382516,4.722940723321086,5.565079263027083,1.449895882912383,7.680744004960934,4.395392916855049,7.247301422793022,9.546243647029318,10.2880621892779,4.933303890319745,8.471948929984617,8.214005947236204,6.674173900797833,4.4569254311759945,5.319595563801134,3.941289432043789,8.044119665965875,4.842398664583888,6.145853677999423,6.737579726563936,7.9383097250011625,4.078682299904327,7.232727354432049,6.7723603403381984,5.138392980157847,8.184218734557696,6.098051928791904,4.6752135757452065,6.7552635892444,8.748258246960422,7.625596665683479,7.164424624895778,10.738289341698302,4.508232858057693,10.648291678907768,6.765478247328446,5.072207668661329,4.478070994866384,10.01601593298535,7.865936342093184,6.865776660833709,7.376226426609762,7.321815956350198,8.67924210904801,7.7238659201154585,6.54631459854175,7.154108003111394,6.41285760563447,6.8566363781873
20241106-297-Dunn-25,6.577758311907669,7.57219484168432,0.0,4.598177873451928,6.5335308189965815,7.569279863764131,4.636160117911615,5.44012196956117,1.739895213006279,7.534430332493722,4.335747408439728,7.277699828774837,9.578403297755452,10.306712250837332,4.941728185448353,8.537520703603377,8.323339253270355,6.7107831703797425,4.639524448588205,5.160499462543616,4.122435070939776,8.054517881985767,5.150117516137886,6.0099606579852844,6.861329039501187,7.84028214484884,4.30891606573998,7.261144472852255,7.026815789456345,5.210892789361068,8.202054197420487,6.323505631630155,4.811559373329965,6.93159718280765,8.780421462807318,7.773479311103275,7.186153687391451,10.66552336588757,4.797641611420668,10.585124219121008,6.979739119989441,5.0743479401067795,4.406523805474301,9.982426344047537,7.875131114192036,6.890214709569977,7.4108383080099145,7.506454488382873,8.730287368416244,7.952739268890086,6.715744189032944,7.1800639985371575,6.424896559422064,6.884249185981715
20241106-297-Dunn-24,6.690291973939634,7.608764754831866,1.9679197847036198,4.600437862114837,6.474363026075162,7.5656327729363095,4.576953113600257,5.550965311478809,0.0,7.54160059952872,4.57691383859781,7.523672159846309,9.866721279282181,10.517749736535404,4.863196662238188,8.74677412616048,8.321169574993307,6.875139106610254,4.736354518513399,5.401535312901655,4.084887155171282,8.05987201162978,5.1346618927675465,6.058130384404462,6.844798736633334,7.925442591578404,4.6303890156674035,7.243903608532216,6.866831250208329,5.263084798866538,8.250208200417125,6.307610499999431,4.7901292833961575,6.835016055073119,8.812207597367427,7.634609753796387,7.172055573335237,10.547628961170867,4.666808704665175,10.543254955748477,6.815378436569438,4.963035322638522,4.361781764661255,9.998667052493229,7.898862341927891,6.947798588769783,7.552721356093262,7.418963130144562,8.752059574601303,7.885015622341265,6.677925798599028,7.214857221281015,6.400851689170135,6.878069388159071
20241106-297-Dunn-2,6.516805696141126,7.887444310667081,2.607679089351332,4.801899322131787,6.67959136949995,7.463187050942842,4.471428256221276,5.254954198351743,3.2667092966940063,7.644964352961788,4.308875140222121,6.869443785062786,9.17154407003204,9.932162923074243,4.850850660480859,8.092980735663373,8.23779158597725,6.9814308040228354,4.083883273637173,5.222517245853595,3.7707048017918914,7.968652750175368,5.0214207935489545,5.973619098913214,6.694775398307776,7.832841023846107,4.296932397183762,7.087572827632171,6.695527232582073,5.179517995238336,8.250018093980211,6.387983196531648,4.705662037057845,6.762502869485783,8.802361303517996,7.609904903512765,7.063826764605382,10.7026850337013,4.5342973570933065,10.612544630215345,6.892112680145704,4.769484976333848,4.419082913218698,9.98058878746085,7.8191954961839825,6.788999948919981,7.449032743044943,7.617159420284443,8.786871770648368,8.066621121784838,6.525549510469204,7.403459546896295,6.1611981338444854,6.805091118396202
20241106-297-Dunn-9,6.281589787324224,7.3261567488282955,0.0,4.517763182145609,5.968694638164575,7.4068005156908265,4.6148922801764085,4.6231336306001385,0.0,7.622180057986331,4.779128621355663,7.261635193604018,9.57989588351361,10.358192400130257,5.014928042352969,8.541872349483778,8.288898812136283,6.761524445495867,4.921223140146156,5.495802421801997,4.221280822296792,7.966661735430984,5.157406453473832,6.041207561921357,6.888066386680613,7.87657195293853,4.671984179737481,7.233845097315094,6.671229604981525,5.235027282710903,8.216631193961474,6.244668847842489,4.888260053970263,6.881548132428779,8.77397897036087,7.646470399337506,7.16379518664906,10.714161024695388,4.6486384235066085,10.592116160397092,6.878568182968715,4.957847661162305,3.9436661381290214,10.010928289185957,7.852282935758228,6.805442786563567,7.497801522187198,7.3648585914131175,8.708483944912405,7.832795928106151,6.701054063787504,7.233594838792901,6.312861939574787,6.921813864429087
20241106-297-Dunn-14,6.6358898485518045,7.6638111395282245,2.7446889691618823,4.533085689960862,6.522045870919818,7.572004006770644,4.425504674879423,5.402690281005364,2.9583755881115468,7.583732343716521,4.556132568559909,7.447460740428566,9.703380818765018,10.436873532486377,4.860683176689291,8.633322480374176,8.276676159463301,6.661370377670563,4.372922627513143,5.346672013662338,4.466668630597253,8.077644103723735,5.072176866594344,5.938825066804244,6.674812333316683,7.8782845581358085,4.275083555312153,7.234733817514312,6.669204797728805,5.095272417785598,8.1221714512452,6.2443274382921,4.608958470322635,6.835489096288096,8.786368896867934,7.725811150182255,7.242180905056713,10.683396029045305,4.272050459852553,10.605959453607639,6.782667360638559,4.920840987720317,4.4139232228575755,9.984733255791276,7.864567814092485,6.786337810141109,7.528351663430645,7.457739816821095,8.773271838003717,7.958383049610205,6.608787571267591,7.240426599475984,6.3231874757652955,6.861877373972862
20241106-297-Dunn-6,6.656197853579915,7.645601166783793,1.9885802142453632,4.515469339649652,6.617096376800884,7.509267599809266,4.558700715187868,5.47090137103891,1.0103945780897745,7.570261308351731,4.071185937748029,7.291108462959944,9.558011517183532,10.30839717873163,4.7862997111980015,8.503551591426993,8.231422345173373,6.938615926061765,4.68025438332081,5.339495154996005,3.4500596362455656,8.121742874105088,4.987521657159799,6.0495024760136,6.794676157734196,7.86936872169583,4.383692910777913,7.148154690495763,6.6048589134545725,5.225779866731173,8.188617109429545,6.223473789935794,4.6980498538223205,6.780679153500317,8.766991597685516,7.647623412639152,7.190653461866046,10.722611967088447,4.25100602298442,10.624869231318081,6.7429821321964445,4.7266474529296945,4.106246259416521,9.985464579091548,7.909336337396365,6.765545086055041,7.523265306301531,7.372622653164673,8.736168784841825,7.8400477892706535,6.680179166222341,7.206950978450598,6.331512641001372,6.872688356293684
20241106-297-Dunn-15,6.5995394612882965,7.649499725155122,1.1437006176587832,4.4482591993553955,6.565938669081448,7.522569835117932,4.6130650843525185,5.499297535711656,3.1678538599795263,7.505507443747715,4.3576271507836015,7.222852157631542,9.535862334098654,10.334658455339921,4.913449740538779,8.481861447001023,8.352338943101232,6.780401075448025,4.785614706411244,5.454953764398637,4.073329940227907,8.085509256666459,5.200850364873848,6.057084134060859,6.811886553834408,7.938102200598853,4.289110270909203,7.23871838723258,6.773225044319189,5.273926239039766,8.221491154895412,6.191896669345179,4.837231084056755,6.89374996192158,8.782655178357547,7.720366580452276,7.237735230476272,10.672330163504919,4.437082166774495,10.587544426971556,6.830515861695799,4.9781021583709375,4.204394172612473,10.013439566344045,7.892339449058012,6.846542696586443,7.530181198387716,7.425918429667132,8.732317402390912,7.848199587435854,6.6361330729843,7.269376960324535,6.3354753675007345,6.94405536340423
