sample,total_signal,log10_total_signal_plus1,detected_features,detection_rate,zero_fraction,mean_feature_intensity_nonzero,class,id,order,batch,spearman_corr_to_class_median,log10_total_signal_plus1_robust_z,detected_features_robust_z,zero_fraction_robust_z,spearman_corr_to_class_median_robust_z,outlier_total_signal,outlier_detected_features,outlier_zero_fraction,outlier_class_profile,any_outlier_flag
20241106-297-French-3,789686.373028364,5.8974551937710125,251,0.996031746031746,0.003968253968253968,3146.16084871858,French,20241106-297-French-3,60,1,0.9568976038060618,0.17296595472718515,0.0,0.0,-2.980325491832531,False,False,False,False,False
20241106-297-LMU-9,634675.5432286757,5.80255244768437,247,0.9801587301587301,0.01984126984126984,2569.5366122618448,LMU,20241106-297-LMU-9,61,1,0.8836312679018857,-1.2055499484818009,-2.698,2.698,-10.083755797495199,False,False,False,True,True
20241106-297-QC7,733267.5712636238,5.865263071032308,248,0.9841269841269841,0.015873015873015872,2956.724077675903,QC,20241106-297-QC7,62,1,0.8589890968550444,-0.2946427814082827,-2.0235,2.0235,-12.472901405109493,False,False,False,True,True
20241106-297-Dunn-13,691702.1148064556,5.83991973135341,245,0.9722222222222222,0.027777777777777776,2823.273937985532,Dunn,20241106-297-Dunn-13,63,1,0.8464877730856655,-0.6627690815249573,-4.047,4.047,-13.684948944110907,False,True,True,True,True
20241106-297-LMU-6,777244.6199734176,5.8905582833344186,243,0.9642857142857143,0.03571428571428571,3198.5375307548043,LMU,20241106-297-LMU-6,64,1,0.8524260583786689,0.07278444142120818,-5.396,5.396,-13.109211189609836,False,True,True,True,True
20241106-297-LMU-23,698043.0312334519,5.843882817922017,243,0.9642857142857143,0.03571428571428571,2872.6050668043254,LMU,20241106-297-LMU-23,65,1,0.8824782168837183,-0.6052030143046141,-5.396,5.396,-10.195548170422626,False,True,True,True,True
20241106-297-French-5,718830.9630492788,5.856627379882822,252,1.0,0.0,2852.5038216241232,French,20241106-297-French-5,66,1,0.9795757680739495,-0.4200810650792242,0.6745,-0.6745,-0.7815972853612727,False,False,False,False,False
20241106-297-French-21,905181.4483412884,5.9567361243122665,252,1.0,0.0,3591.9898743701874,French,20241106-297-French-21,67,1,0.9866194897840564,1.0340548997566483,0.6745,-0.6745,-0.09868356185165096,False,False,False,False,False
20241106-297-LMU-3,782918.9823300004,5.893717377628397,247,0.9801587301587301,0.01984126984126984,3169.712479068827,LMU,20241106-297-LMU-3,68,1,0.9956709745751101,0.11867206747588259,-2.698,2.698,0.778889890983603,False,False,False,False,False
20241106-297-LMU-7,820606.8158188765,5.914135649056491,251,0.996031746031746,0.003968253968253968,3269.349863820224,LMU,20241106-297-LMU-7,69,1,0.9910562771407476,0.41525897397033623,0.0,0.0,0.33147865904227886,False,False,False,False,False
20241106-297-Dunn-14,745113.2266556588,5.872222855571876,251,0.996031746031746,0.003968253968253968,2968.5785922536193,Dunn,20241106-297-Dunn-14,70,1,0.993144117140362,-0.1935479863014666,0.0,0.0,0.5339021287519211,False,False,False,False,False
20241106-297-LMU-21,557369.9315376815,5.746144315288709,251,0.996031746031746,0.003968253968253968,2220.597336803511,LMU,20241106-297-LMU-21,71,1,0.974727824701272,-2.0249098804562156,0.0,0.0,-1.2516225356843413,False,False,False,False,False
20241106-297-Dunn-6,698064.408295275,5.843896117653008,251,0.996031746031746,0.003968253968253968,2781.1331007779886,Dunn,20241106-297-Dunn-6,72,1,0.994457891089132,-0.605009828212159,0.0,0.0,0.6612771580517115,False,False,False,False,False
20241106-297-LMU-19,684376.1542588561,5.83529550357959,248,0.9841269841269841,0.015873015873015872,2759.5812671728067,LMU,20241106-297-LMU-19,73,1,0.9670003228215711,-0.7299385975730157,-2.0235,2.0235,-2.000831164202687,False,False,False,False,False
20241106-297-QC8,742070.7482298302,5.870445897669709,249,0.9880952380952381,0.011904761904761904,2980.203808151931,QC,20241106-297-QC8,74,1,0.9919814361803713,-0.21935930186902267,-1.349,1.349,0.4211760989171969,False,False,False,False,False
20241106-297-Dunn-15,779942.9333772236,5.892063384357077,251,0.996031746031746,0.003968253968253968,3107.3423640526826,Dunn,20241106-297-Dunn-15,75,1,0.9858476824296519,0.09464688251197181,0.0,0.0,-0.1735130136558307,False,False,False,False,False
20241106-297-French-10,747065.0390401599,5.873358994215736,251,0.996031746031746,0.003968253968253968,2976.3547372117905,French,20241106-297-French-10,76,1,0.9930693162113461,-0.17704493182313685,0.0,0.0,0.5266499142183836,False,False,False,False,False
20241106-297-LMU-11,643157.7100587013,5.808318155502122,248,0.9841269841269841,0.015873015873015872,2593.377863139924,LMU,20241106-297-LMU-11,77,1,0.9594322106741877,-1.1217997911073088,-2.0235,2.0235,-2.7345863946360516,False,False,False,False,False
20241106-297-French-17,889064.4336810735,5.9489337254706145,252,1.0,0.0,3528.0334669883864,French,20241106-297-French-17,78,1,0.9869511177767017,0.9207206567561653,0.6745,-0.6745,-0.06653105546394678,False,False,False,False,False
20241106-297-LMU-2,908920.7213454013,5.958526482285101,250,0.9920634920634921,0.007936507936507936,3635.6828853816046,LMU,20241106-297-LMU-2,79,1,0.9925413985562661,1.0600608589070375,-0.6745,0.6745,0.475466431057794,False,False,False,False,False
20241106-297-French-8,900942.4883978554,5.954697550749676,252,1.0,0.0,3575.168604753396,French,20241106-297-French-8,80,1,0.9945673722515295,1.0044434691946051,0.6745,-0.6745,0.6718917438266949,False,False,False,False,False
20241106-297-Dunn-10,675270.3960637001,5.829478353755728,250,0.9920634920634921,0.007936507936507936,2701.0815842548013,Dunn,20241106-297-Dunn-10,81,1,0.9865439377607669,-0.8144359790947505,-0.6745,0.6745,-0.10600859763058204,False,False,False,False,False
20241106-297-LMU-1,811739.8311191712,5.909417391826111,248,0.9841269841269841,0.015873015873015872,3273.1444803192376,LMU,20241106-297-LMU-1,82,1,0.9952349314884753,0.346723627041889,-2.0235,2.0235,0.7366139720646137,False,False,False,False,False
20241106-297-Dunn-3,840788.577978865,5.924687319749109,251,0.996031746031746,0.003968253968253968,3349.7552907524487,Dunn,20241106-297-Dunn-3,83,1,0.9924519862301366,0.5685279409390863,0.0,0.0,0.4667975899141815,False,False,False,False,False
20241106-297-LMU-13,1005170.2878224781,6.002240074709285,251,0.996031746031746,0.003968253968253968,4004.6625012847726,LMU,20241106-297-LMU-13,84,1,0.9588194613556392,1.6950254392587834,0.0,0.0,-2.7939946074999265,False,False,False,False,False
20241106-297-Dunn-18,811277.1299702696,5.909169768642402,250,0.9920634920634921,0.007936507936507936,3245.1085198810774,Dunn,20241106-297-Dunn-18,85,1,0.9705486189341402,0.34312676066212794,-0.6745,0.6745,-1.6568113107674896,False,False,False,False,False
