feature,detection_rate__all,detection_rate__B,detection_rate__SS,detection_rate__dQC,detection_rate__QC,detection_rate__Dunn,detection_rate__French,detection_rate__LMU,detection_rate__biological,detection_rate__qc_like,detection_rate__blank,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-082,0.9411764705882353,0.16666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,815.19145248803,815.2391948284286,815.1516278485828,0.0232383703674765,1299.3902606601064,1316.9471285420052,1301.4809187367064,1296.7242527442668,1285.1505845592858,1.2686655490251988
FT-084,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1224.2978759761004,1224.3667494540175,1224.2365630785655,0.0355838123362433,1257.7376008872648,1268.2375238108073,1259.5745263285503,1255.5683653972703,1246.972209575565,1.100626009489861
FT-085,0.9411764705882353,0.16666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1224.2975971419808,1224.3676798771355,1224.2360970656302,0.0338887890806766,1299.5622354883926,1326.7008043924968,1301.6533649016435,1297.2715763988908,1284.4157231648746,1.108347628423208
FT-088,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1223.7937689750972,1223.8660708013226,1223.731097431243,0.0355204882343369,1299.7601011100369,1336.2607719587245,1301.8750860839802,1297.2461217844962,1283.6113158516257,1.136548855459982
FT-094,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1221.278586377492,1221.3500894868318,1221.2143035851589,0.0353492358973952,1303.4817365710865,1321.727132797243,1305.6325974876218,1300.8830375216428,1288.7102018083829,1.2677084949312982
FT-101,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1222.7800653728018,1222.853415898867,1222.7169146828526,0.0354924396049877,1300.021420828775,1340.6451712215658,1302.407113605227,1297.540546705481,1283.5628868551817,1.204843434452595
FT-105,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1222.2792600253013,1222.3523829534292,1222.2154645351295,0.0356384043734069,1300.11549170832,1340.2901754940272,1302.463122605168,1297.468351311746,1283.18202748018,1.2617595384120577
FT-119,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1173.7328914728205,1173.8032504310777,1173.6726629889213,0.0333763897511305,1443.2962636993905,1461.1698659261056,1446.2752528351923,1440.3320215371118,1432.0197194417306,1.3310233171334998
FT-139,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1174.234578749382,1174.3047758750722,1174.1691741712189,0.0367706332183141,1443.187753176186,1459.7429939552608,1445.8934686334949,1440.3935207486345,1432.0249712908712,1.2691559803045909
FT-141,0.9411764705882353,0.16666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1223.2951510470548,1223.3681626700757,1223.2234845613689,0.0370316368547799,1273.6834926002612,1281.6057439004244,1276.2935617830008,1270.7086517721582,1268.6967123708414,1.306203097319729
