feature,blank_mean_intensity,blank_median_intensity,blank_detection_rate,qc_mean_intensity,qc_median_intensity,qc_detection_rate,bio_mean_intensity,bio_median_intensity,bio_detection_rate,blank_to_qc_ratio,blank_to_bio_ratio,log10_blank_to_qc_ratio,log10_blank_to_bio_ratio,blank_dominant_flag,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-186,0.0,0.0,0.0,69.87107009203004,65.5541110638752,1.0,149.73689261811177,72.19048741813242,1.0,0.014110129827325088,0.0066340759891705845,-1.8504689902831084,-2.1782195582177333,False,931.6243046494036,931.6784901191336,931.5809314937704,0.0274414767123745,1102.186769188893,1106.829634834741,1104.5947650644134,1099.0703438301748,1094.5528271619044,1.4732397071044796
FT-239,0.0,0.0,0.0,132.44490444288004,137.5501645454943,1.0,152.875009888644,151.8073755717702,1.0,0.007493729372244719,0.006498781060834233,-2.1253019950243153,-2.1871680938489315,False,1083.3425827511437,1083.4166557113358,1083.2876164929687,0.0363729984623317,1439.3248342615186,1444.926219667708,1440.6319758799573,1437.3318144239922,1431.6119139535092,0.9884917727754934
FT-148,0.0,0.0,0.0,177.81589617208553,157.30933799579344,1.0,163.28498106819154,154.90492346766666,0.9746835443037974,0.005592343977280625,0.006086983688331919,-2.2524061235927624,-2.2155978620513173,False,1633.0433891731236,1633.1408675210662,1632.9657943151262,0.0455721833872696,1473.397159852177,1482.8077298944656,1475.3327389874703,1471.072093996486,1466.4682648398627,1.0908347103613008
FT-047,0.0,0.0,0.0,182.78808546698897,164.33244367313628,1.0,165.7461295123342,156.0406769516481,1.0,0.005441049116209519,0.005997140700804273,-2.2643173537113555,-2.2220557619232544,False,995.65692637966,995.7086397617136,995.610460153178,0.0270949224828062,1120.1782129636545,1126.083653767903,1122.388534209544,1117.8975231103082,1111.092205754033,1.1569512021216075
FT-243,0.0,0.0,0.0,161.443969675892,186.9294687389695,1.0,183.92578740474394,177.4404230963113,1.0,0.006155968744147282,0.0054075746494528475,-2.2107035938891006,-2.266997476582042,False,1083.0184165320716,1083.081155245212,1082.9536937910798,0.0367099381181748,1438.918439562102,1444.8087708493492,1440.6161703055536,1436.2722954248684,1431.0281680492635,1.1621010653959112
FT-206,0.0,0.0,0.0,164.53404527072766,194.14950543863293,1.0,191.51859119891466,187.54631428529495,1.0,0.006041053357721789,0.005194303541141005,-2.218887328339098,-2.2844726749626445,False,1034.6560763743712,1034.7123139359592,1034.6014150768017,0.0298462974025474,1386.0386461317642,1395.2626547813416,1388.8838369044424,1383.0236739106767,1376.8958172798157,1.443510211018104
FT-144,0.0,0.0,0.0,195.42380971906152,190.3449162022128,1.0,196.63236119659322,201.0978702798472,0.9873417721518988,0.0050910325048183665,0.005059900078840114,-2.293194130105033,-2.2958580593730145,False,1632.5484775521786,1632.6461105251813,1632.4546442621267,0.0466912860728051,1473.171101763048,1482.4374332428004,1475.4512352411034,1470.6162300679728,1466.381916046143,1.1104967430642156
FT-177,0.0,0.0,0.0,68.19244081104604,62.88971085873621,1.0,202.65564951917713,73.69382487477142,1.0,0.014452445791453532,0.004910249248478793,-1.8400586509109342,-2.308896462155737,False,1372.9222666552944,1373.0044393277417,1372.8475550406097,0.0419239569538517,1005.5678939773716,1014.2933441162128,1009.3238316986228,1001.3395867388192,999.7053329467792,2.0632318308477204
FT-146,0.0,0.0,0.0,214.16382200172248,229.160538196622,0.9375,208.24324297284633,214.32504040628135,0.9493670886075949,0.0046476214760304575,0.004779126846785542,-2.332769250145574,-2.3206514423547193,False,1633.038705134174,1633.107167277146,1632.9691329723976,0.0425022110452064,1439.0391430336188,1445.0717250636355,1440.7764451317369,1436.86510091518,1430.602291920149,0.996074966973379
FT-120,0.0,0.0,0.0,210.97358428737374,219.47546044786708,1.0,222.55072645247608,221.86150789787607,1.0,0.004717568952574272,0.0044732576622272206,-2.3262817434145044,-2.3493760854936463,False,1558.9989797646351,1559.0842363807174,1558.920019528133,0.044886920178662,1386.1476473421424,1396.046158381872,1388.6361896759065,1383.3754083622428,1376.375687190463,1.270025774274783
FT-078,2.55112722212645,0.0,0.3333333333333333,750.8839119116299,788.954614817244,1.0,813.608129027097,811.428015740794,1.0,0.004722972743355918,0.004359307371960102,-2.3257845607633967,-2.360582508078001,False,1077.205728818574,1077.2697492713137,1077.1507175425947,0.0315129711684634,1164.9081193819106,1176.015186999219,1167.311426224721,1162.4987461160683,1152.201798220714,1.193687829900949
FT-199,0.0,0.0,0.0,200.3895760191465,122.07119584244589,1.0,230.5482313738127,146.20331278482712,1.0,0.0049655002993051044,0.004318754645919081,-2.3040369875953375,-2.3646414680872985,False,1223.794329633322,1223.8477891740072,1223.7328858293467,0.0320895105058515,1273.4466422499067,1280.9673685186042,1276.269530388491,1270.7744681742668,1268.557216980878,1.2870284782640955
FT-188,0.0,0.0,0.0,78.81477712077168,73.2678396904987,1.0,238.3543660396056,85.75496315209656,1.0,0.012529008237244723,0.004177905824515152,-1.902083305234001,-2.3790413538134327,False,931.123316275561,931.1738081023892,931.07426737904,0.0254915780131796,1102.1879690833632,1107.124431889231,1104.963450062722,1099.1332192776542,1093.916465014947,1.3268034181666346
FT-116,0.0,0.0,0.0,201.7508324287772,211.05606252022366,1.0,241.95187425471877,230.27596598842013,1.0,0.004932162240819812,0.004116041512614827,-2.3069626459583223,-2.385520253781171,False,1034.3156777245072,1034.3733453488437,1034.2664963897112,0.0277415348472434,1386.2288582150331,1396.2981626211867,1388.9721706356552,1383.0239916368391,1375.9949180878775,1.5877595200199193
FT-209,0.0,0.0,0.0,251.8363750452312,255.57681309553607,1.0,243.6480135092155,260.42553463740074,1.0,0.003955127104717843,0.004087505088049005,-2.4028395551522497,-2.388541693729766,False,1632.5496568490846,1632.6439370468956,1632.468630968542,0.0492385054668293,1438.8645645787187,1444.8693813855136,1440.6580787895616,1436.0888835821331,1430.697591757474,1.1907313115547458
