feature,n_qc_samples,qc_detection_rate,qc_mean_intensity,qc_median_intensity,qc_std_intensity,qc_cv_pct,qc_mean_intensity_batch1,qc_cv_pct_batch1,qc_order_spearman_rho,qc_order_spearman_abs,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-083,16,1.0,3183.904454987846,3216.0434354334648,525.8030338140089,16.514409940609106,3183.904454987846,16.514409940609106,0.5088235294117647,0.5088235294117647,1224.8042649657891,1224.876041896912,1224.7402364071952,0.0346338316722824,1299.2791674223463,1319.7385787963844,1301.3711060851224,1296.826881389742,1284.575736753402,1.191957931979993
FT-085,16,1.0,7369.696948499053,7351.899384084358,1222.5718630557162,16.589174176350777,7369.696948499053,16.589174176350777,0.4823529411764706,0.4823529411764706,1224.2975971419808,1224.3676798771355,1224.2360970656302,0.0338887890806766,1299.5622354883926,1326.7008043924968,1301.6533649016435,1297.2715763988908,1284.4157231648746,1.108347628423208
FT-139,16,1.0,952.8259689204157,970.6741441642375,165.72011565874303,17.392485203411233,952.8259689204157,17.392485203411233,0.09411764705882353,0.09411764705882353,1174.234578749382,1174.3047758750722,1174.1691741712189,0.0367706332183141,1443.187753176186,1459.7429939552608,1445.8934686334949,1440.3935207486345,1432.0249712908712,1.2691559803045909
FT-088,16,1.0,16409.012051906455,16822.515304856737,2891.1950276617736,17.619555757019903,16409.012051906455,17.619555757019903,0.4647058823529412,0.4647058823529412,1223.7937689750972,1223.8660708013226,1223.731097431243,0.0355204882343369,1299.7601011100369,1336.2607719587245,1301.8750860839802,1297.2461217844962,1283.6113158516257,1.136548855459982
FT-119,16,1.0,1461.413215491092,1450.0328696986041,268.60051039277135,18.379504683930964,1461.413215491092,18.379504683930964,0.2735294117647059,0.2735294117647059,1173.7328914728205,1173.8032504310777,1173.6726629889213,0.0333763897511305,1443.2962636993905,1461.1698659261056,1446.2752528351923,1440.3320215371118,1432.0197194417306,1.3310233171334998
FT-018,16,1.0,2719.6012785888224,2772.583251643039,503.4066473282908,18.510310731634313,2719.6012785888224,18.510310731634313,-0.2529411764705882,0.2529411764705882,1372.9191123009864,1372.997683690058,1372.8485441828032,0.0401136096641405,980.422438027575,998.3599555885412,983.254920699392,977.8447214040514,967.5379132700484,1.3146068155169774
FT-096,16,1.0,1763.1303685987662,1745.0351967864394,330.1284106276997,18.723993217249536,1763.1303685987662,18.723993217249536,0.411764705882353,0.411764705882353,815.5252605920695,815.5724826653777,815.4837884085781,0.0230239980275139,1299.3577408679637,1319.7332979838072,1301.576686001449,1296.8377586315107,1285.7117818196627,1.124421705883728
FT-163,16,1.0,1104.3794371121548,1155.4051696982378,212.3166309456082,19.224971401205693,1104.3794371121548,19.224971401205693,-0.24705882352941175,0.24705882352941175,1337.3318321701493,1337.4086088050117,1337.2605286062494,0.0385999135719712,1551.0732220065731,1564.003391265867,1553.8833102803744,1548.545409600503,1539.332274119059,1.2550125304137447
FT-098,16,1.0,1330.0288203057967,1289.162416361153,260.0874194892528,19.555021328744907,1330.0288203057967,19.555021328744907,0.2735294117647059,0.2735294117647059,1234.285360466548,1234.3584080913142,1234.2175489976564,0.0355276090628736,1298.978903962394,1315.1444068651524,1301.099355556177,1296.7371931063972,1285.3820376449771,1.0487614830989662
FT-082,16,1.0,1595.1659601377976,1581.0334865689638,316.67329028720445,19.852059171313357,1595.1659601377976,19.852059171313357,0.4264705882352941,0.4264705882352941,815.19145248803,815.2391948284286,815.1516278485828,0.0232383703674765,1299.3902606601064,1316.9471285420052,1301.4809187367064,1296.7242527442668,1285.1505845592858,1.2686655490251988
FT-021,16,1.0,15129.81390988583,15421.796781269588,3013.7729861372727,19.919431951294996,15129.81390988583,19.919431951294996,0.3764705882352941,0.3764705882352941,842.0756790432796,842.1224037031269,842.033147766642,0.0247411020790879,963.2789284715732,991.4065647125228,965.900100453346,960.78786884497,946.0247929199916,1.2723722014800722
FT-025,16,1.0,6458.960169777018,6789.190856566095,1297.57955076123,20.089604466565802,6458.960169777018,20.089604466565802,0.3558823529411765,0.3558823529411765,843.080105891697,843.1277631649815,843.0381621542712,0.0247628776573223,963.2439588234024,988.1751993200248,965.7639074749648,960.7361998439518,947.918078663588,1.3047236827776925
FT-020,16,1.0,12358.648357941045,12737.869115100108,2490.1953220861456,20.14941480624029,12358.648357941045,20.14941480624029,0.3294117647058824,0.3294117647058824,842.5773942493681,842.624259465518,842.5350038070779,0.0247858919562459,963.3235892455184,994.1845837268208,966.0232942432688,960.7144273833812,947.501450842558,1.2969596479291814
FT-014,16,1.0,2718.919676522759,2885.8815897615436,554.6818927664351,20.400819397350524,2718.919676522759,20.400819397350524,0.411764705882353,0.411764705882353,843.583190546885,843.630050243499,843.5406553510771,0.0244139600441625,963.0868614775412,982.5703484671496,965.7982037305084,960.5184649981504,948.7611850277426,1.2901121418075123
FT-211,16,1.0,1154.3467780636868,1130.224473582634,237.60869369858472,20.583822661778637,1154.3467780636868,20.583822661778637,0.25588235294117645,0.25588235294117645,815.8635371185956,815.9097037102256,815.8168325066675,0.0237987236535292,1299.0589008403172,1315.8451273355154,1300.8173377571577,1296.6742952794136,1285.8302638042446,1.1679361461324014
FT-175,16,1.0,1152.152451527903,1190.8164846682112,252.62307756191,21.92618496162545,1152.152451527903,21.92618496162545,0.3235294117647059,0.3235294117647059,844.0870342319306,844.1323782106103,844.0413754189648,0.024631739029111,962.9974510538884,978.5761512080348,965.591399884148,960.298923399465,948.8306583935764,1.3765320185913352
