feature,n_qc_samples_qc_only,qc_detection_rate_qc_only,qc_mean_intensity_qc_only,qc_cv_pct_qc_only,qc_order_spearman_rho_qc_only,qc_order_spearman_abs_qc_only,mz,rt,n_qc_samples_dqc_only,qc_detection_rate_dqc_only,qc_mean_intensity_dqc_only,qc_cv_pct_dqc_only,qc_order_spearman_rho_dqc_only,qc_order_spearman_abs_dqc_only,stable_qc_only_30,stable_dqc_only_30,stable_in_both_30,cv_gap_dqc_minus_qc,abs_drift_gap,potential_concentration_sensitive_flag
FT-067,11,1.0,8547.467029796246,15.37102524928422,-0.2545454545454546,0.2545454545454546,1150.251969729645,1245.3086840060384,5,1.0,5162.5258285212385,28.409789764007712,0.8999999999999998,0.8999999999999998,True,True,True,13.038764514723493,0.6454545454545453,False
FT-068,11,1.0,488.2199166624425,19.787251705708155,0.05454545454545456,0.05454545454545456,1150.2524730526775,1279.7884240559065,5,1.0,438.04719329737975,33.51560268113362,0.9999999999999999,0.9999999999999999,True,False,False,13.728350975425467,0.9454545454545453,True
FT-069,11,1.0,924.0848528841284,14.39267073431749,-0.13636363636363638,0.13636363636363638,1150.7568385346326,1199.4452906242605,5,1.0,648.2260298295802,25.091298423511965,0.9999999999999999,0.9999999999999999,True,True,True,10.698627689194476,0.8636363636363635,False
FT-070,11,1.0,5484.17748329735,15.230984983946533,-0.3727272727272728,0.3727272727272728,1150.753810446541,1245.2881515322938,5,1.0,3333.6060104673898,29.56973124906414,0.8999999999999998,0.8999999999999998,True,True,True,14.338746265117608,0.527272727272727,False
FT-071,11,1.0,326.32127127178114,22.229062103892296,-0.09090909090909091,0.09090909090909091,1150.7515985354444,1279.6007579597722,5,1.0,280.50730788486237,34.64531932254049,0.9999999999999999,0.9999999999999999,True,False,False,12.416257218648191,0.909090909090909,True
FT-072,11,1.0,135.20509259487687,21.305872859978095,-0.43636363636363645,0.43636363636363645,1252.819559504331,1252.123154423304,5,1.0,94.11644702738987,25.53764948646392,0.9999999999999999,0.9999999999999999,True,True,True,4.231776626485825,0.5636363636363635,False
FT-073,11,1.0,2683.9378118727586,17.97458437423174,0.03636363636363637,0.03636363636363637,1252.8205095026694,1273.817172792693,5,1.0,1819.9440423804517,26.557848542922294,0.8999999999999998,0.8999999999999998,True,True,True,8.583264168690555,0.8636363636363634,False
FT-074,11,1.0,3025.076300554935,17.666058629870268,-0.38181818181818183,0.38181818181818183,1178.7694962544108,1244.8608776216845,5,1.0,2058.6695726143735,25.92220904389299,0.8999999999999998,0.8999999999999998,True,True,True,8.256150414022724,0.518181818181818,False
FT-075,11,1.0,865.4637553338365,19.19381123029615,-0.46363636363636374,0.46363636363636374,1076.704086348371,1165.0016465840235,5,1.0,590.3687677366815,30.19527849042253,0.8999999999999998,0.8999999999999998,True,False,False,11.001467260126383,0.43636363636363606,True
FT-076,11,1.0,23152.514526849813,13.543073031523846,-0.2545454545454546,0.2545454545454546,1076.70024884105,1212.7298144435597,5,1.0,16131.83103754613,26.215201937241503,0.9999999999999999,0.9999999999999999,True,True,True,12.672128905717656,0.7454545454545454,False
