task_name,feature_space,model_name,feature,n_selected,mean_coef,mean_abs_coef,positive_coef_fraction,n_folds,selection_frequency,sign_consistency
French_vs_Dunn,main,linear_svm,FT-027,50,-0.0535856013544428,0.0535856013544428,0.0,50,1.0,1.0
French_vs_Dunn,main,linear_svm,FT-024,50,-0.0519080133203675,0.0519080133203675,0.0,50,1.0,1.0
French_vs_Dunn,main,linear_svm,FT-176,50,-0.05166726347011618,0.05166726347011618,0.0,50,1.0,1.0
French_vs_Dunn,main,linear_svm,FT-030,50,-0.051337031198861426,0.051337031198861426,0.0,50,1.0,1.0
French_vs_Dunn,main,linear_svm,FT-025,50,-0.04256446486816641,0.04256446486816641,0.0,50,1.0,1.0
French_vs_Dunn,main,linear_svm,FT-020,50,-0.03555626552341047,0.03555626552341047,0.0,50,1.0,1.0
French_vs_Dunn,main,linear_svm,FT-021,50,-0.02490420716856958,0.025007842862267787,0.04,50,1.0,0.92
French_vs_Dunn,main,linear_svm,FT-014,50,-0.013285028014821638,0.013832789613785,0.2,50,1.0,0.6
French_vs_Dunn,main,linear_svm,FT-046,47,0.12316221392820732,0.12316221392820732,1.0,50,0.94,1.0
French_vs_Dunn,main,linear_svm,FT-050,43,0.16572834666331052,0.16572834666331052,1.0,50,0.86,1.0
French_vs_Dunn,main,linear_svm,FT-084,40,0.1416604741426451,0.1416604741426451,1.0,50,0.8,1.0
French_vs_Dunn,main,linear_svm,FT-059,35,0.06861334088294618,0.06861334088294618,1.0,50,0.7,1.0
French_vs_Dunn,main,linear_svm,FT-220,24,-0.04114209722505782,0.04114209722505782,0.0,50,0.48,1.0
French_vs_Dunn,main,linear_svm,FT-174,7,0.11799555102647126,0.11799555102647126,1.0,50,0.14,1.0
French_vs_Dunn,main,linear_svm,FT-221,1,0.1477949591572934,0.1477949591572934,1.0,50,0.02,1.0
French_vs_Dunn,main,linear_svm,FT-074,1,-0.10556908724798507,0.10556908724798507,0.0,50,0.02,1.0
French_vs_Dunn,main,linear_svm,FT-043,1,0.10235630554057784,0.10235630554057784,1.0,50,0.02,1.0
French_vs_Dunn,main,linear_svm,FT-037,1,-0.07314868406064248,0.07314868406064248,0.0,50,0.02,1.0
French_vs_Dunn,main,logreg_l1,FT-030,50,-0.8719865966366327,0.8719865966366327,0.0,50,1.0,1.0
French_vs_Dunn,main,logreg_l1,FT-053,50,-0.8062039504033909,0.8062039504033909,0.0,50,1.0,1.0
French_vs_Dunn,main,logreg_l1,FT-140,50,0.7181290058908663,0.7181290058908663,1.0,50,1.0,1.0
French_vs_Dunn,main,logreg_l1,FT-024,50,-0.2429538025214751,0.2429538025214751,0.0,50,1.0,1.0
French_vs_Dunn,main,logreg_l1,FT-027,50,-0.21139028826228176,0.21139028826228176,0.0,50,1.0,1.0
French_vs_Dunn,main,logreg_l1,FT-016,50,-0.11563396132375715,0.11563396132375715,0.0,50,1.0,1.0
French_vs_Dunn,main,logreg_l1,FT-175,50,-0.07063818707323365,0.07063818707323365,0.0,50,1.0,1.0
French_vs_Dunn,main,logreg_l1,FT-049,50,-0.04229404140206443,0.04229404140206443,0.0,50,1.0,1.0
French_vs_Dunn,main,logreg_l1,FT-176,50,-0.03944229628065992,0.03944229628065992,0.0,50,1.0,1.0
French_vs_Dunn,main,logreg_l1,FT-218,50,-0.012268852407284618,0.012268852407284618,0.0,50,1.0,1.0
French_vs_Dunn,main,logreg_l1,FT-100,50,4.0878444012503153e-05,4.0878444012503153e-05,0.02,50,1.0,0.96
French_vs_Dunn,main,logreg_l1,FT-014,50,0.0,0.0,0.0,50,1.0,1.0
French_vs_Dunn,main,logreg_l1,FT-020,50,0.0,0.0,0.0,50,1.0,1.0
French_vs_Dunn,main,logreg_l1,FT-021,50,0.0,0.0,0.0,50,1.0,1.0
French_vs_Dunn,main,logreg_l1,FT-025,50,0.0,0.0,0.0,50,1.0,1.0
French_vs_Dunn,main,logreg_l1,FT-104,50,0.0,0.0,0.0,50,1.0,1.0
French_vs_Dunn,main,logreg_l1,FT-046,47,0.1734507984366656,0.1734507984366656,0.5957446808510638,50,0.94,0.1914893617021276
French_vs_Dunn,main,logreg_l1,FT-050,43,0.44458760467919267,0.44458760467919267,0.9534883720930233,50,0.86,0.9069767441860466
French_vs_Dunn,main,logreg_l1,FT-084,40,0.29714364471019905,0.29714364471019905,0.975,50,0.8,0.95
French_vs_Dunn,main,logreg_l1,FT-059,35,0.0,0.0,0.0,50,0.7,1.0
French_vs_Dunn,main,logreg_l1,FT-220,24,0.0,0.0,0.0,50,0.48,1.0
French_vs_Dunn,main,logreg_l1,FT-174,7,0.01803704518030357,0.01803704518030357,0.5714285714285714,50,0.14,0.1428571428571428
French_vs_Dunn,main,logreg_l1,FT-074,1,-0.14681965713806577,0.14681965713806577,0.0,50,0.02,1.0
French_vs_Dunn,main,logreg_l1,FT-221,1,0.014683347574603942,0.014683347574603942,1.0,50,0.02,1.0
French_vs_Dunn,main,logreg_l1,FT-037,1,0.0,0.0,0.0,50,0.02,1.0
French_vs_Dunn,main,logreg_l1,FT-043,1,0.0,0.0,0.0,50,0.02,1.0
French_vs_Dunn,representative,linear_svm,FT-030,50,-0.2086142744976559,0.2086142744976559,0.0,50,1.0,1.0
French_vs_Dunn,representative,linear_svm,FT-021,50,-0.16874159596452226,0.16874159596452226,0.0,50,1.0,1.0
