feature,Dunn,French,LMU,q_value__French_vs_Dunn,auc_abs__French_vs_Dunn,raw_log2_fc__French_vs_Dunn,effect_direction__French_vs_Dunn,significant_fdr_05__French_vs_Dunn,q_value__French_vs_LMU,auc_abs__French_vs_LMU,raw_log2_fc__French_vs_LMU,effect_direction__French_vs_LMU,significant_fdr_05__French_vs_LMU,q_value__LMU_vs_Dunn,auc_abs__LMU_vs_Dunn,raw_log2_fc__LMU_vs_Dunn,effect_direction__LMU_vs_Dunn,significant_fdr_05__LMU_vs_Dunn,n_strong_tasks,clinical_profile,profile_note
FT-039,8.60492329712348,8.45955229764269,8.42627302762352,6.348293542632446e-08,0.9615384615384616,-0.33627442057482465,French < Dunn,True,0.004868582735391594,0.7435897435897436,0.12284418289764099,French > LMU,True,1.3649752514670982e-08,0.9935897435897436,-0.4591186034724654,LMU < Dunn,True,2,healthy-associated,"Healthy samples are highest, while both disease groups are lower."
FT-040,6.789559998485157,6.5957510100075005,6.711105939763549,1.1728097797819808e-06,0.9127218934911243,-0.4038788077803356,French < Dunn,True,0.0038960185505050077,0.75,-0.18886452951753832,French < LMU,True,0.0007073787193731706,0.7948717948717949,-0.21501427826279731,LMU < Dunn,True,1,healthy-associated,Dunn is highest overall.
FT-041,8.570110634370899,8.436783193841432,8.376837896218781,1.849326451134321e-07,0.9437869822485208,-0.3065475664817588,French < Dunn,True,0.0013172491013146563,0.7772435897435898,0.15381014338197935,French > LMU,True,3.128238955056631e-08,0.9807692307692307,-0.4603577098637381,LMU < Dunn,True,2,healthy-associated,"Healthy samples are highest, while both disease groups are lower."
FT-042,6.7351172446911445,6.557591077221369,6.603789326992915,2.883826107069e-06,0.8979289940828402,-0.3256872585515608,French < Dunn,True,0.11573569717950376,0.6410256410256411,-0.03452322153880904,French < LMU,False,7.17255979529281e-05,0.8477564102564102,-0.2911640370127518,LMU < Dunn,True,1,healthy-associated,Dunn is highest overall.
FT-043,8.201503526914355,8.346827188108064,7.8366422105679865,1.168099301305001e-08,0.9911242603550297,0.11580273087097337,French > Dunn,True,8.212233262943234e-09,1.0,0.7921274563970486,French > LMU,True,1.1976173508458883e-08,1.0,-0.676324725526075,LMU < Dunn,True,3,cancer-specific high,"French is highest, while LMU stays below healthy."
FT-044,9.228042153260404,9.195391568004364,9.026381470076682,0.020040910930088116,0.6997041420118344,-0.13564792600781753,French < Dunn,True,8.76165135225367e-09,0.9983974358974359,0.3306802045450682,French > LMU,True,1.2603413877909718e-08,0.9967948717948718,-0.46632813055288563,LMU < Dunn,True,2,benign-depleted,LMU is specifically low for this feature.
FT-045,8.675707880191133,8.660657481763852,8.47627880344005,0.11208571160287764,0.6390532544378698,-0.1361824036636073,French < Dunn,False,8.212233262943234e-09,1.0,0.30709234264051466,French > LMU,True,1.1976173508458883e-08,1.0,-0.443274746304122,LMU < Dunn,True,2,benign-depleted,LMU is specifically low for this feature.
FT-046,8.782871169890429,8.93113251749807,8.438271165086753,6.788751309474513e-09,1.0,0.17305373968500407,French > Dunn,True,8.212233262943234e-09,1.0,0.7786324100409848,French > LMU,True,1.1976173508458883e-08,1.0,-0.6055786703559807,LMU < Dunn,True,3,cancer-specific high,"French is highest, while LMU stays below healthy."
FT-048,7.395038317218268,7.473545729443855,7.378711487698525,1.2995915829557238e-05,0.8713017751479291,0.03677911362575722,French > Dunn,True,9.141411354907337e-06,0.8814102564102564,0.25339922405418003,French > LMU,True,0.3831210596122296,0.5801282051282052,-0.21662011042842283,LMU < Dunn,False,1,non-specific but discriminative,"Strong separation exists, but the pattern is not cleanly attributable to one clinical interpretation."
FT-049,7.343657687377582,7.045582726382764,7.451723599573738,6.788751309474513e-09,1.0,-0.5075680642238413,French < Dunn,True,8.212233262943234e-09,1.0,-0.48854592226934934,French < LMU,True,1.0403653429256218e-05,0.8862179487179488,-0.019022141954491992,LMU > Dunn,True,2,cancer-specific low,French is clearly depleted relative to both comparison groups.
